master_symbol,slave_symbol,slave_lot
EURUSD,EURUSD,1
AUDCHF,AUDCHF-STD,1
AUDCAD,AUDCAD-STD,1
AUDJPY,AUDJPY-STD,1
CADCHF,CADCHF-STD,1
CADJPY,CADJPY-STD,1
CHFJPY,CHFJPY-STD,1
EURAUD,EURAUD-STD,1
AUDUSD,AUDUSD-STD,1
GBPUSD,GBPUSD-STD,1
USDCAD,USDCAD-STD,1
USDCHF,USDCHF-STD,1
USDJPY,USDJPY-STD,1
AUDNZD,AUDNZD-STD,1
EURNZD,EURNZD-STD,1
NZDUSD,NZDUSD-STD,1
GBPNZD,GBPNZD-STD,1
NZDJPY,NZDJPY-STD,1
NZDCAD,NZDCAD-STD,1
NZDCHF,NZDCHF-STD,1
AUDHUF,AUDHUF-STD,1
AUDNOK,AUDNOK-STD,1
AUDPLN,AUDPLN-STD,1
AUDSGD,AUDSGD-STD,1
CADMXN,CADMXN-STD,1
CADSGD,CADSGD-STD,1
CHFDKK,CHFDKK-STD,1
FRA40,FRA40-STD,1
JPN225,JPN225-STD,1
NAS100,NAS100-STD,1
UK100,UK100-STD,1
US30,US30-STD,1
US500,US500-STD,1
GER40,GER40-STD,1
US2000,US2000-STD,1
CA60,CA60-STD,1
CHINAH,CHINAH-STD,1
SWI20,SWI20-STD,1
NETH25,NETH25-STD,1
GERTEC30,GERTEC30-STD,1
MidDE50,MidDE50-STD,1
XAUEUR,XAUEUR-STD,1
XAUGBP,XAUGBP-STD,1
XAUJPY,XAUJPY-STD,1
XAUCNH,XAUCNH-STD,1
XAUSGD,XAUSGD-STD,1
XAUTHB,XAUTHB-STD,1
XAGUSD,XAGUSD-STD,1
XAGAUD,XAGAUD-STD,1
XAGEUR,XAGEUR-STD,1
XAGSGD,XAGSGD-STD,1
XPDUSD,XPDUSD-STD,1
XPTUSD,XPTUSD-STD,1
Copper,Copper-STD,1
Aluminium,Aluminium-STD,1
Nickel,Nickel-STD,1
Zinc,Zinc-STD,1
Lead,Lead-STD,1
Gasoline,Gasoline-STD,1
NatGas,NatGas-STD,1
SpotBrent,SpotBrent-STD,1
SpotCrude,SpotCrude-STD,1
ADAUSD,ADAUSD-STD,1
AVAXUSD,AVAXUSD-STD,1
BCHUSD,BCHUSD-STD,1
BNBUSD,BNBUSD-STD,1
COMPUSD,COMPUSD-STD,1
DOGEUSD,DOGEUSD-STD,1
DOTUSD,DOTUSD-STD,1
BTCEUR,BTCEUR-STD,1
BTCGBP,BTCGBP-STD,1
BTCUSD,BTCUSD,1
ETHAUD,ETHAUD-STD,1
ETHEUR,ETHEUR-STD,1
XAUUSD,XAUUSD,1
