master_symbol,slave_symbol
AUDCAD.c,AUDCAD-STD
AUDCHF.c,AUDCHF-STD
AUDJPY.c,AUDJPY-STD
AUDNZD.c,AUDNZD-STD
AUDUSD.c,AUDUSD-STD
AUS200.c,AUS200-STD
BCHINR.c,BCHINR-STD
BNBINR.c,BNBINR-STD
BTCINR.c,BTCINR-STD
BTCUSD.c,BTCUSD-STD
CADCHF.c,CADCHF-STD
CADJPY.c,CADJPY-STD
CHFJPY.c,CHFJPY-STD
DOGEINR.c,DOGEINR-STD
ETHINR.c,ETHINR-STD
ETHUSD.c,ETHUSD-STD
EU50.c,EU50-STD
EURAUD.c,EURAUD-STD
EURCAD.c,EURCAD-STD
EURCHF.c,EURCHF-STD
EURGBP.c,EURGBP-STD
EURJPY.c,EURJPY-STD
EURNZD.c,EURNZD-STD
EURUSD.c,EURUSD-STD
FRA40.c,FRA40-STD
GBPAUD.c,GBPAUD-STD
GBPCAD.c,GBPCAD-STD
GBPCHF.c,GBPCHF-STD
GBPJPY.c,GBPJPY-STD
GBPNZD.c,GBPNZD-STD
GBPUSD.c,GBPUSD-STD
GER30.c,GER30-STD
HK50.c,HK50-STD
JPN225.c,JPN225-STD
LTCINR.c,LTCINR-STD
MATICINR.c,MATICINR-STD
NAS100.c,NAS100-STD
NZDCAD.c,NZDCAD-STD
NZDCHF.c,NZDCHF-STD
NZDJPY.c,NZDJPY-STD
NZDUSD.c,NZDUSD-STD
SHBINR.c,SHBINR-STD
SOLINR.c,SOLINR-STD
SP500.c,SP500-STD
TRXINR.c,TRXINR-STD
UK100.c,UK100-STD
UKOUSD.c,UKOUSD-STD
US30.c,US30-STD
USDCAD.c,USDCAD-STD
USDCHF.c,USDCHF-STD
USDINR.c,USDINR-STD
USDJPY.c,USDJPY-STD
USDSEK.c,USDSEK-STD
USDTINR.c,USDTINR-STD
USDTproINR.c,USDTproINR-STD
USOUSD.c,USOUSD-STD
XAGUSD.c,XAGUSD-STD
XAUUSD.c,XAUUSD-STD
XRPINR.c,XRPINR-STD
